Player Name,Team,Conference,Position Profile,Review Date,Video Type,Video Source,Video Score,Overall Video Rating,Video Grade,Status,Recommendation,Quantitative Match,Technical Ability,Tactical Awareness,Decision Making,Physical Attributes,Work Rate,Communication,Leadership,Composure,Key Observations,Strengths Identified,Weaknesses Identified,Red Flags,Additional Notes,Created At
Marlowe Yarrowfen,Maryland,Big Ten,Centre Midfielder,2026-04-08,Possession Phases,Hudl,5.5,6.0,D,In Progress,Sign Now,Not assessed,5.3,6.1,5.7,6.3,5.9,5.2,5.7,6.4,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Sigrid Reedmoor,Rutgers,Big Ten,Center Back,2026-04-08,Skills Showcase,Wyscout,6.8,6.4,D,In Progress,Watch Next Season,Mixed signals,6.0,8.1,6.0,7.8,5.7,6.2,5.7,7.2,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Persephone Hollowmere,Kansas,Big 12,Winger,2026-04-07,Attacking Reel,Hudl,6.5,6.4,D,In Progress,Continue Tracking,Not assessed,6.7,5.3,6.7,6.2,7.0,5.7,5.8,6.5,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Echo Frostvale,Tennessee,SEC,Center Back,2026-04-07,Full Match,Hudl,6.5,6.1,D,Reviewed - Pending Discussion,Pass,Not assessed,5.0,7.3,6.0,6.9,5.6,5.8,5.7,6.3,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Niamh Ravenhollow,Arkansas,SEC,Centre Midfielder,2026-04-06,Highlights,YouTube,7.4,7.6,B,Reviewed - Pending Discussion,Continue Tracking,Mixed signals,7.2,7.8,8.3,7.4,8.1,7.9,8.1,7.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Persephone Vellichor,Wisconsin,Big Ten,Attacking Midfielder,2026-04-03,Full Match,YouTube,8.4,8.2,B,Reviewed - Pending Discussion,Sign Now,Not assessed,9.1,8.4,8.6,8.0,8.2,7.7,7.3,7.8,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Isolde Thornveil,Louisville,ACC,Centre Midfielder,2026-04-02,Defensive Reel,Hudl,8.5,8.3,B,Archived,Watch Next Season,Weak match,7.7,8.7,8.2,8.3,8.4,7.9,7.7,7.6,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Thalia Aldercroft,Louisville,ACC,Winger,2026-04-02,Possession Phases,Wyscout,7.8,7.7,B,In Progress,Watch Next Season,Strong match,8.9,7.7,7.4,7.9,7.9,7.3,7.9,7.7,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Marlowe Brackenfeld,Texas A&M,SEC,Winger,2026-04-02,Possession Phases,Wyscout,8.6,8.2,B,Reviewed - Pending Discussion,Watch Next Season,Mixed signals,8.8,8.7,7.5,9.0,7.8,8.0,8.3,8.2,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #2. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Linnea Brackenfeld,Clemson,ACC,Centre Midfielder,2026-04-01,Highlights,Wyscout,6.5,6.6,C,Archived,Watch Next Season,Weak match,6.1,6.1,7.4,5.7,7.8,7.2,5.9,6.2,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Niamh Thornveil,Louisville,ACC,Center Back,2026-03-27,Highlights,Club Provided,7.3,7.5,B,Archived,Continue Tracking,Strong match,6.7,8.5,8.0,8.2,7.9,7.2,6.9,8.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Tabitha Brindlewood,Maryland,Big Ten,Center Back,2026-03-25,Highlights,Coach Submitted,8.5,8.2,B,Archived,Continue Tracking,Not assessed,6.8,8.8,7.0,8.0,8.1,8.0,8.3,8.2,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Indigo Mistralin,Baylor,Big 12,Winger,2026-03-24,Highlights,Club Provided,7.5,7.4,C,Reviewed - Pending Discussion,Sign Now,Not assessed,9.0,7.1,7.0,7.7,8.6,7.1,6.9,7.8,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Sorrel Drystan,Tennessee,SEC,Centre Midfielder,2026-03-23,Skills Showcase,Coach Submitted,8.2,8.2,B,Reviewed,Pass,Strong match,7.9,8.2,8.3,8.1,8.1,8.5,6.9,8.5,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Thora Briarwood,Northwestern,Big Ten,Winger,2026-03-22,Full Match,Club Provided,8.2,8.4,B,In Progress,Sign Now,Mixed signals,9.2,8.0,7.7,8.4,8.5,8.2,7.2,8.0,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Cinder Thornveil,Tennessee,SEC,Centre Midfielder,2026-03-21,Defensive Reel,Hudl,8.0,7.7,B,In Progress,Sign Now,Weak match,7.2,7.7,7.2,7.5,7.3,7.8,7.4,7.3,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Persephone Yarrowfen,Virginia,ACC,Attacking Midfielder,2026-03-21,Set Piece Compilation,Hudl,6.1,5.7,D,In Progress,Sign Now,Strong match,6.7,6.2,5.5,5.2,4.9,5.9,6.1,6.4,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Ember Oakenshield,Texas A&M,SEC,Centre Midfielder,2026-03-21,Attacking Reel,YouTube,7.7,7.9,B,Archived,Sign Now,Strong match,7.5,8.3,9.5,7.2,8.2,7.8,7.8,7.9,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Anouk Drystan,Kentucky,SEC,Center Back,2026-03-19,Defensive Reel,Club Provided,6.9,7.3,C,In Progress,Continue Tracking,Not assessed,7.2,8.0,7.2,7.7,8.0,7.4,6.9,8.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Vivienne Silverlin,West Virginia,Big 12,Center Back,2026-03-19,Attacking Reel,Coach Submitted,5.7,6.2,D,Reviewed - Pending Discussion,Sign Now,Not assessed,6.0,7.3,5.2,6.5,5.3,5.9,5.9,6.5,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Sorrel Dunhollow,BYU,Big 12,Center Back,2026-03-19,Defensive Reel,Conference Network,6.4,6.4,D,Archived,Watch Next Season,Not assessed,5.5,6.4,6.0,7.3,6.6,6.2,5.7,7.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,Tracking minor knee discomfort - monitor in next clip set.,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Wren Ashfen,Notre Dame,ACC,Winger,2026-03-18,Skills Showcase,Coach Submitted,6.1,6.2,D,Reviewed - Pending Discussion,Pass,Mixed signals,7.1,6.3,5.1,6.7,5.8,5.9,5.6,5.5,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Faye Vossen,Tennessee,SEC,Center Back,2026-03-18,Possession Phases,YouTube,6.7,6.6,C,Reviewed,Continue Tracking,Strong match,6.1,7.5,6.4,7.7,6.3,6.8,5.8,6.7,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
